record_id,panel_rows,finite_count,coverage,zero_share,mean,std,minimum,maximum,bin_lower,bin_upper,unit_interval_bins
f40_iceberg_c__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.002942495650330969,0.01774139267414158,0.011582878122487459,0.0,0.2118798527322465,0.0,1.0,True
f40_iceberg_c__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.0011089807727378024,0.002065548706560606,0.013133120640362981,-0.27280844672747506,0.17969808824867428,-0.27280844672747506,0.17969808824867428,False
f40_iceberg_c__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.002473273563377019,0.015675843967580975,0.011319570729859101,0.0,0.277826178074157,0.0,1.0,True
f40_iceberg_c__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.0011089807727378024,0.03341723664172258,0.018764664571023743,0.0,0.2828439094208389,0.0,1.0,True
f41_reactive_c__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.026480489331604965,0.0026655419401453236,0.004597703114281619,0.0,0.18109448125330616,0.0,1.0,True
f41_reactive_c__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.06756699476068195,0.0026375242912622097,0.0048453979110241125,0.0,0.18698360813325643,0.0,1.0,True
f41_reactive_c__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.026480489331604965,0.00017861040779314582,0.005311505067678704,-0.1448985551367515,0.18109448125330616,-0.1448985551367515,0.18109448125330616,False
f41_reactive_c__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.05975484131717343,0.002458913883469064,0.004653653543474707,0.0,0.14957008899936572,0.0,1.0,True
f41_reactive_c__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.026480489331604965,0.005096438174731278,0.007877604861487184,0.0,0.19325664373664267,0.0,1.0,True
f42_bq_opp_c__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.011260344326207927,0.013034088274606809,0.018727143939991833,0.0,0.3259340545187544,0.0,1.0,True
f42_bq_opp_c__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.021984434838754195,0.018470253541927308,0.02581400820473449,0.0,0.3545700930173313,0.0,1.0,True
f42_bq_opp_c__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.011260344326207927,-0.000502530386512312,0.022810980700312893,-0.3259340545187544,0.3081968320973291,-0.3259340545187544,0.3081968320973291,False
f42_bq_opp_c__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.020162749089403565,0.018972783928439596,0.024830418533394644,0.0,0.409238441551568,0.0,1.0,True
f42_bq_opp_c__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.011260344326207927,0.03744303747036695,0.045227033594579746,0.0,0.5438880148654764,0.0,1.0,True
f42_bq_own_c__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.010155306596217635,0.011350494611152773,0.01590419909058548,0.0,0.29194842488607875,0.0,1.0,True
f42_bq_own_c__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.020768991911833564,0.016083538966792224,0.022387395026226404,0.0,0.33677185526945946,0.0,1.0,True
f42_bq_own_c__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.010155306596217635,-0.0012088147271546287,0.01950169335176313,-0.27217924412484706,0.29194842488607875,-0.27217924412484706,0.29194842488607875,False
f42_bq_own_c__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.0190251812567463,0.017292353693946848,0.022092517104111736,0.0,0.3738524363587317,0.0,1.0,True
f42_bq_own_c__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.010155306596217635,0.03337589266073905,0.03997791255837845,0.0,0.500156093090903,0.0,1.0,True
f43_qdformal_c__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.012507331595108655,0.003053941498693347,0.00371723813867076,0.0,0.07604295194401461,0.0,1.0,True
f43_qdformal_c__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.025612034166465406,0.0037356449388932073,0.004893714598675536,0.0,0.07124277441498286,0.0,1.0,True
f43_qdformal_c__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.012507331595108655,0.00022069071527467754,0.004805800002624056,-0.07604295194401461,0.0706279203094995,-0.07604295194401461,0.0706279203094995,False
f43_qdformal_c__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.023613897254163605,0.003514954223618526,0.004360467838188872,0.0,0.0865498035342938,0.0,1.0,True
f43_qdformal_c__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.012507331595108655,0.007250599162511738,0.00792644504283716,0.0,0.09705665512457298,0.0,1.0,True
f43_qdilute_c__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.008042821444237982,0.012874245233541304,0.013017709947042362,0.0,0.1817895159682372,0.0,1.0,True
f43_qdilute_c__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.018542158520176058,0.014826536604676682,0.01462350357358641,0.0,0.18497594638263412,0.0,1.0,True
f43_qdilute_c__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.008042821444237982,-0.00035177324838051136,0.01830527842400684,-0.1817895159682372,0.17349660135413061,-0.1817895159682372,0.17349660135413061,False
f43_qdilute_c__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.018060121544292693,0.015178309853057187,0.01484306078760286,0.0,0.20639799169960943,0.0,1.0,True
f43_qdilute_c__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.008042821444237982,0.030004846457733873,0.02309206362458592,0.0,0.2935064482037506,0.0,1.0,True
f44_deplete_c__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.009756073518032028,0.010363127551925363,0.014670604381751643,0.0,0.2549033259200293,0.0,1.0,True
f44_deplete_c__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.020958257963714148,0.014323786324406135,0.02016000505613522,0.0,0.307715536924755,0.0,1.0,True
f44_deplete_c__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.009756073518032028,-0.0005323389219194029,0.017953764531583753,-0.24743197936211578,0.2549033259200293,-0.24743197936211578,0.2549033259200293,False
f44_deplete_c__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.019202618180384348,0.01485612524632554,0.01955965151548648,0.0,0.3305872461040542,0.0,1.0,True
f44_deplete_c__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.009756073518032028,0.029179911570731666,0.035435489014345296,0.0,0.44162893882930276,0.0,1.0,True
f45_spread_nar_c__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.010560454238524513,0.011690117302779543,0.0171638676385623,0.0,0.31143841335481925,0.0,1.0,True
f45_spread_nar_c__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.01980688948144059,0.015672939241575992,0.022740675402569698,0.0,0.3457259214012945,0.0,1.0,True
f45_spread_nar_c__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.010560454238524513,0.0008096619469173299,0.020750943168891044,-0.31143841335481925,0.3002387435026845,-0.31143841335481925,0.3002387435026845,False
f45_spread_nar_c__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.018769869238844886,0.014863277294658656,0.02131153732902719,0.0,0.39107582909234706,0.0,1.0,True
f45_spread_nar_c__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.010560454238524513,0.030536216536234635,0.038884935897910027,0.0,0.5203744470486894,0.0,1.0,True
f45_spread_wid_c__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.017686518243965912,0.0059120374001617425,0.008944500646345723,0.0,0.2505516753080078,0.0,1.0,True
f45_spread_wid_c__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.047005012593092775,0.007404943290867439,0.012390164228296923,0.0,0.22785650750078731,0.0,1.0,True
f45_spread_wid_c__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.017686518243965912,-0.002829294169237963,0.010341729668547054,-0.2505516753080078,0.18542702151606455,-0.2505516753080078,0.18542702151606455,False
f45_spread_wid_c__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.03978135827965045,0.010234237460105405,0.014404133651828308,0.0,0.3180289726717277,0.0,1.0,True
f45_spread_wid_c__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.017686518243965912,0.017639180750972837,0.02479998183851142,0.0,0.4076724922857852,0.0,1.0,True
f46_imbflip_c__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.046812789259151555,0.0012424830198575884,0.0025230787156732153,0.0,0.10898818250809973,0.0,1.0,True
f46_imbflip_c__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.09059732168821376,0.0017918081792575333,0.0037406756836909443,0.0,0.123466425021023,0.0,1.0,True
f46_imbflip_c__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.046812789259151555,9.364574981210588e-05,0.002810857650906528,-0.08434794201577708,0.10898818250809973,-0.08434794201577708,0.10898818250809973,False
f46_imbflip_c__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.08523182626953654,0.0016981624294454278,0.0034450078848099323,0.0,0.13092932593819806,0.0,1.0,True
f46_imbflip_c__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.046812789259151555,0.0034899706087029602,0.006619708986070226,0.0,0.17751070986061904,0.0,1.0,True
f47_voljump_c__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.017709190739764107,0.004417466357330036,0.007378685915213215,0.0,0.23933582404175618,0.0,1.0,True
f47_voljump_c__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.04923776054887155,0.0054797900241947885,0.01001557705996009,0.0,0.2141877854796075,0.0,1.0,True
f47_voljump_c__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.017709190739764107,-0.0018609038566553718,0.008396192690130077,-0.23933582404175618,0.17566039012645965,-0.23933582404175618,0.17566039012645965,False
f47_voljump_c__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.04198946221825727,0.007340693880850163,0.011559535696034464,0.0,0.30046283376135186,0.0,1.0,True
