formal_column,dm01_exact_buy,dm01_exact_sell,dm02_confirmed_buy,dm02_confirmed_sell,dm03_price_room_buy,dm03_price_room_sell,dm04_price_cap_buy,dm04_price_cap_sell,dm05_lot_floor_buy,dm05_lot_floor_sell,dm06_soft_under_buy,dm06_soft_under_sell,dm07_fresh_match_buy,dm07_fresh_match_sell,dm08_adaptive_repeat_buy,dm08_adaptive_repeat_sell,dm09_two_level_buy,dm09_two_level_sell,dm10_excess_cancel_buy,dm10_excess_cancel_sell,dm11_recent_buy,dm11_recent_sell,dm12_persistent_buy,dm12_persistent_sell
dm06_soft_under_buy,0.9998993250002787,0.715919384190652,0.9998689384277362,0.7159056987169695,0.708622162981925,0.611265983873213,0.9604815056303094,0.6518437012525843,0.9989203486182212,0.7153606816011194,1.0,0.7154801300463376,0.6658158138732823,0.43020004234794557,0.701337277649261,0.44238044171087204,0.497856354743923,0.47943679023931457,0.13557053249197945,0.10756195809350379,0.8851419233656073,0.6262591756518832,0.9766327661141252,0.7051480809953722
dm06_soft_under_sell,0.7161029623503525,0.9999386243279847,0.7160843262438954,0.9999199892472496,0.6010478627581932,0.7056119612721808,0.650621751073667,0.9655933331637457,0.7151276082426369,0.9991196715091625,0.7154801300463376,1.0,0.42954898829447014,0.6878320979226092,0.42203607250494185,0.7070034223265436,0.4772095115780396,0.48906895931982736,0.10332896583273682,0.12648969589902173,0.617617925178248,0.88981244196091,0.7009207549982476,0.9789356319075774
dm07_fresh_match_buy,0.6658210330955789,0.42996757666012536,0.6659241330573389,0.4300140403134463,0.34181224563800183,0.2693769116008502,0.6901940498650386,0.42760661617609563,0.6638317305797812,0.42863849915399604,0.6658158138732823,0.42954898829447014,1.0,0.35967316482666173,0.383770032179245,0.2346348526636386,0.18987683814788073,0.19267336470587196,0.10599734211193768,0.083381885718884,0.5673734586160973,0.3531703757666575,0.6376489684095656,0.4076780383063857
dm07_fresh_match_sell,0.4308141518700533,0.6878195011670437,0.43088790155144924,0.6878842946259605,0.2658599132015377,0.35739821550457085,0.4292258482385785,0.7112558468801637,0.42887572061240753,0.6861442890216609,0.43020004234794557,0.6878320979226092,0.35967316482666173,1.0,0.22590094914817738,0.4063676254801443,0.20692841208887428,0.19010520909918682,0.07289094024250625,0.09512392996152372,0.354706057901378,0.5955420391666879,0.4052287595851615,0.6607666428146526
dm08_adaptive_repeat_buy,0.7013700975891514,0.42233388527989096,0.7013834317030911,0.4223006284250167,0.44495709867269184,0.40655196953291334,0.6950016233815085,0.36743675932267084,0.6997916553625664,0.4215708622292316,0.701337277649261,0.42203607250494185,0.383770032179245,0.22590094914817738,1.0,0.31485022103477905,0.3539072988812728,0.32073180044545724,0.09938022758088917,0.08043999703000346,0.6477205551918349,0.38376305589937537,0.6940851974151833,0.43813004258800836
dm08_adaptive_repeat_sell,0.4428063795038471,0.7069854041482738,0.4427791860444768,0.7070009322213667,0.43145239460706825,0.45535414982737404,0.37866406502524746,0.6991165081129103,0.4416872566771899,0.7056260502560114,0.44238044171087204,0.7070034223265436,0.2346348526636386,0.4063676254801443,0.31485022103477905,1.0,0.3360480515237995,0.35949151532246354,0.07580592772510518,0.09484658996984609,0.39130440506164715,0.6534191664311605,0.46035753537699986,0.7051494279353215
dm09_two_level_buy,0.49813054873764023,0.4774272604806911,0.49803568397711984,0.47737208844307866,0.5228502337833801,0.4966960845843671,0.41192206196638603,0.40198838721969554,0.4979319732833592,0.4775611024195488,0.497856354743923,0.4772095115780396,0.18987683814788073,0.20692841208887428,0.3539072988812728,0.3360480515237995,1.0,0.4047645925672703,0.04797819269065624,0.05233956496485443,0.45807822026344014,0.445111394214415,0.5072089452467393,0.4889377961733085
dm09_two_level_sell,0.4797251950735476,0.48926866874096064,0.4795805374072514,0.4892070213613796,0.5115870406882049,0.5291399197169383,0.39348337544826945,0.4049423459880994,0.4798621902665829,0.48946047065895126,0.47943679023931457,0.48906895931982736,0.19267336470587196,0.19010520909918682,0.32073180044545724,0.35949151532246354,0.4047645925672703,1.0,0.049128892001049744,0.04429167364252478,0.44178315512877775,0.4572164223292836,0.49238498814660325,0.5013502987050354
dm10_excess_cancel_buy,0.13551405607792985,0.10344006050743632,0.13554693707691443,0.10345434687236048,0.0734533676283813,0.07210711890598344,0.13809769265635874,0.10004422931887928,0.13627267033086177,0.10360336770328074,0.13557053249197945,0.10332896583273682,0.10599734211193768,0.07289094024250625,0.09938022758088917,0.07580592772510518,0.04797819269065624,0.049128892001049744,1.0,0.15121847598463173,0.10030850047666318,0.07556501190581619,0.1358965874400306,0.10413447941811572
dm10_excess_cancel_sell,0.10766406725133164,0.1264963217937583,0.10768230196938566,0.1265249313749828,0.07485672148185388,0.0799355972854262,0.1031120468019396,0.1252983366372967,0.10786077330288385,0.12703058073369475,0.10756195809350379,0.12648969589902173,0.083381885718884,0.09512392996152372,0.08043999703000346,0.09484658996984609,0.05233956496485443,0.04429167364252478,0.15121847598463173,1.0,0.0783542085886176,0.09537518784512637,0.10935868284248887,0.12754626514499004
dm11_recent_buy,0.8851561540559844,0.6180048059590013,0.8851338114632668,0.6179775955420662,0.6253390342615897,0.5546417663299138,0.8515234451075596,0.5527133968321221,0.8842568860940933,0.6176162450445516,0.8851419233656073,0.617617925178248,0.5673734586160973,0.354706057901378,0.6477205551918349,0.39130440506164715,0.45807822026344014,0.44178315512877775,0.10030850047666318,0.0783542085886176,1.0,0.5740128831008737,0.8930972281032943,0.6175503825878239
dm11_recent_sell,0.6268030725047565,0.8898170146598947,0.6267540999010931,0.8898067778970277,0.5537446576497373,0.6331509290373328,0.5588375222301228,0.8574527196862917,0.6259868642827664,0.889099305219768,0.6262591756518832,0.88981244196091,0.3531703757666575,0.5955420391666879,0.38376305589937537,0.6534191664311605,0.445111394214415,0.4572164223292836,0.07556501190581619,0.09537518784512637,0.5740128831008737,1.0,0.6237718689711154,0.8999519718458385
dm12_persistent_buy,0.9768025701328719,0.7013840505029434,0.9767585372365313,0.7013591349660445,0.7293564892752349,0.6282126923046315,0.9236161979367479,0.6278158404050103,0.9754848088706358,0.7006841586748207,0.9766327661141252,0.7009207549982476,0.6376489684095656,0.4052287595851615,0.6940851974151833,0.46035753537699986,0.5072089452467393,0.49238498814660325,0.1358965874400306,0.10935868284248887,0.8930972281032943,0.6237718689711154,1.0,0.7070235642741413
dm12_persistent_sell,0.7057974460501045,0.9790309478752698,0.7057590071894634,0.9790101187247897,0.6231285637015765,0.7222775933490547,0.6291607632973074,0.9338565985403194,0.7046804001654612,0.9780212876305113,0.7051480809953722,0.9789356319075774,0.4076780383063857,0.6607666428146526,0.43813004258800836,0.7051494279353215,0.4889377961733085,0.5013502987050354,0.10413447941811572,0.12754626514499004,0.6175503825878239,0.8999519718458385,0.7070235642741413,1.0
