column_a,column_b,common_n,equality_rate,mean_absolute_difference,max_absolute_difference
dm02_confirmed_sell,dm06_soft_under_buy,1714613,0.06114907562231244,0.005404635587489608,0.11458333333333333
dm02_confirmed_sell,dm06_soft_under_sell,1714613,0.8909923113845515,2.246259874359547e-05,0.02729044834307992
dm02_confirmed_sell,dm07_fresh_match_buy,1714613,0.04874802652260306,0.010726898923283325,0.11122345803842264
dm02_confirmed_sell,dm07_fresh_match_sell,1714613,0.06448393894132379,0.010209253106192476,0.12032355915065722
dm02_confirmed_sell,dm08_adaptive_repeat_buy,1714613,0.04019740897800261,0.012391059631349906,0.12740141557128412
dm02_confirmed_sell,dm08_adaptive_repeat_sell,1714613,0.03758515770030905,0.012307757634053994,0.11931243680485337
dm02_confirmed_sell,dm09_two_level_buy,1714613,0.03782311227081563,0.013153397434449288,0.12740141557128412
dm02_confirmed_sell,dm09_two_level_sell,1714613,0.037875019027617314,0.013152340774775017,0.12436804853387258
dm02_confirmed_sell,dm10_excess_cancel_buy,1714613,0.03796250232559767,0.013493622582720943,0.12841253791708795
dm02_confirmed_sell,dm10_excess_cancel_sell,1714613,0.037859272033980845,0.013513135521585342,0.12841253791708795
dm02_confirmed_sell,dm11_recent_buy,1714613,0.01852371351436155,0.010808667042746661,0.11550574646012546
dm02_confirmed_sell,dm11_recent_sell,1714613,0.03758282481236291,0.010534947258424396,0.09979062966247453
dm02_confirmed_sell,dm12_persistent_buy,1714613,0.02772987257182816,0.005682929507977938,0.10810810810810811
dm02_confirmed_sell,dm12_persistent_sell,1714613,0.03759448925209362,0.002094962827397342,0.07317073170731707
dm03_price_room_buy,dm03_price_room_sell,1714613,0.25596271578484475,0.0015405867101336182,0.07017543859649122
dm03_price_room_buy,dm04_price_cap_buy,1714613,0.04688054972171563,0.007867373217144315,0.10416666666666666
dm03_price_room_buy,dm04_price_cap_sell,1714613,0.04824528917020925,0.008546798157365245,0.10828025477707007
dm03_price_room_buy,dm05_lot_floor_buy,1714613,0.03699668671589449,0.010423481305541039,0.11458333333333333
dm03_price_room_buy,dm05_lot_floor_sell,1714613,0.039919795312411605,0.011218471491464262,0.11729019211324569
dm03_price_room_buy,dm06_soft_under_buy,1714613,0.036543523232356226,0.010331660733436599,0.11458333333333333
dm03_price_room_buy,dm06_soft_under_sell,1714613,0.039242091364057076,0.011132130697366635,0.11729019211324569
dm03_price_room_buy,dm07_fresh_match_buy,1714613,0.1378281863020985,0.0022925516837999523,0.0625
dm03_price_room_buy,dm07_fresh_match_sell,1714613,0.12257693135418896,0.0025658855764960245,0.06578947368421052
dm03_price_room_buy,dm08_adaptive_repeat_buy,1714613,0.25460380855621645,0.0018825607375186541,0.06578947368421052
dm03_price_room_buy,dm08_adaptive_repeat_sell,1714613,0.2506839735847098,0.0018838819448403607,0.06578947368421052
dm03_price_room_buy,dm09_two_level_buy,1714613,0.268883998896544,0.0021491544394842774,0.06578947368421052
dm03_price_room_buy,dm09_two_level_sell,1714613,0.2688309256957693,0.0021507756793659183,0.06578947368421052
