period,formal_column,group,typical_within_std,mean_return
full,dm07_fresh_match_buy,3,0.011576776227845538,0.0003239331732587201
full,dm07_fresh_match_buy,4,0.010750225600932799,0.0002942217593443896
full,dm07_fresh_match_buy,5,0.010136887738482968,0.00021276635542109062
full,dm07_fresh_match_buy,6,0.009565101880975244,0.00022180484965408684
full,dm07_fresh_match_buy,7,0.009032575066696665,0.00019618841069426237
full,dm07_fresh_match_buy,8,0.008537973971483261,0.00014087528017342103
full,dm07_fresh_match_buy,9,0.008020862491076301,8.034255048941895e-05
full,dm07_fresh_match_buy,10,0.007177805892137863,6.128384856555306e-05
full,dm07_fresh_match_sell,1,0.010101072742726163,0.0004494375030832461
full,dm07_fresh_match_sell,2,0.012651737579525509,0.00043689291004424724
full,dm07_fresh_match_sell,3,0.011545712513395201,0.00030600511692762447
full,dm07_fresh_match_sell,4,0.010620718918294702,0.00022365367411520846
full,dm07_fresh_match_sell,5,0.010092799728638895,0.00017796315651235305
full,dm07_fresh_match_sell,6,0.009416501590684927,0.00012269926563293298
full,dm07_fresh_match_sell,7,0.00895467676164623,0.00010959346430466806
full,dm07_fresh_match_sell,8,0.00824291752884865,6.611563515875712e-06
full,dm07_fresh_match_sell,9,0.007725218292950015,-3.739814873381026e-07
full,dm07_fresh_match_sell,10,0.006956896067872221,-7.83113028676593e-05
full,dm08_adaptive_repeat_buy,1,0.011968885431737073,-0.003935212327531987
full,dm08_adaptive_repeat_buy,2,0.008110281010367142,-0.00019947428607154825
full,dm08_adaptive_repeat_buy,3,0.009767071671539226,-0.0001274299443714556
full,dm08_adaptive_repeat_buy,4,0.014540603410661422,7.890312766484084e-06
full,dm08_adaptive_repeat_buy,5,0.012394320476152763,0.00027400260790419435
full,dm08_adaptive_repeat_buy,6,0.010700512761723777,0.00030187207939643275
full,dm08_adaptive_repeat_buy,7,0.01027355984027986,0.0002549165172165455
full,dm08_adaptive_repeat_buy,8,0.010349019041241626,0.00029639559519647525
full,dm08_adaptive_repeat_buy,9,0.01045181319735852,0.00031802634884144245
full,dm08_adaptive_repeat_buy,10,0.01044720900634462,0.00031137166908889996
full,dm08_adaptive_repeat_sell,1,0.013185941491499046,-0.005692877258201294
full,dm08_adaptive_repeat_sell,2,0.007870156748183917,0.00017813035276011038
full,dm08_adaptive_repeat_sell,3,0.011168672427179055,0.00030058213040273535
full,dm08_adaptive_repeat_sell,4,0.014337935396025249,0.000832135403490889
full,dm08_adaptive_repeat_sell,5,0.012190611788759168,0.0003836965574207641
full,dm08_adaptive_repeat_sell,6,0.010981523117818007,0.00024252487229211792
full,dm08_adaptive_repeat_sell,7,0.010456616143238782,0.000149780407330073
full,dm08_adaptive_repeat_sell,8,0.010223649553971426,0.00014717757824558078
full,dm08_adaptive_repeat_sell,9,0.010071494282498381,9.599233014734056e-05
full,dm08_adaptive_repeat_sell,10,0.009477899796796375,2.712329281724489e-05
full,dm09_two_level_buy,1,,
full,dm09_two_level_buy,2,0.011323147020565994,-0.0023702730621994253
full,dm09_two_level_buy,3,0.008158896709170558,-0.00037293331877038687
full,dm09_two_level_buy,4,0.007918522842772946,0.0004977026528505115
full,dm09_two_level_buy,5,0.015173246415867635,5.831553249687141e-05
full,dm09_two_level_buy,6,0.015111435732047249,0.00033237221598344353
full,dm09_two_level_buy,7,0.013995422989258738,0.0003707535035507124
full,dm09_two_level_buy,8,0.012341083841206338,0.00033560747109275896
full,dm09_two_level_buy,9,0.011398571511887274,0.0002622734357387999
full,dm09_two_level_buy,10,0.010362936780783039,0.00018886080815217054
full,dm09_two_level_sell,1,,
full,dm09_two_level_sell,2,0.012168947909124376,-0.008870220865042643
full,dm09_two_level_sell,3,0.008150776042777938,-7.370696764143562e-05
full,dm09_two_level_sell,4,0.00801633856157922,0.00024487352688412904
full,dm09_two_level_sell,5,0.015534421187142421,-5.502171166877577e-05
full,dm09_two_level_sell,6,0.014731006224938475,0.00021072523333692025
full,dm09_two_level_sell,7,0.014055801850329492,0.0004123263569947326
full,dm09_two_level_sell,8,0.01247758904640122,0.00030579603779811674
full,dm09_two_level_sell,9,0.01141161615652251,0.0002955964497247055
full,dm09_two_level_sell,10,0.010195011288929232,0.0002824559283338742
full,dm10_excess_cancel_buy,1,,
full,dm10_excess_cancel_buy,2,,
full,dm10_excess_cancel_buy,3,0.010191621975026726,-0.0054188988920168026
full,dm10_excess_cancel_buy,4,0.009506679446351543,0.0003439127192527935
full,dm10_excess_cancel_buy,5,0.00924416527853962,0.00040810682403302144
full,dm10_excess_cancel_buy,6,0.016269917291697772,-0.002653824816149574
full,dm10_excess_cancel_buy,7,0.014572518605397558,-0.0015700404493833276
full,dm10_excess_cancel_buy,8,0.014954329641737464,-4.1248293874487e-06
full,dm10_excess_cancel_buy,9,0.013933844765673746,0.0004811989594307249
full,dm10_excess_cancel_buy,10,0.00994320724666437,0.00023829493668423227
full,dm10_excess_cancel_sell,1,,
full,dm10_excess_cancel_sell,2,,
full,dm10_excess_cancel_sell,3,0.012073152728049688,-0.007260088756042362
full,dm10_excess_cancel_sell,4,0.009813843181410814,0.00010746662420712944
full,dm10_excess_cancel_sell,5,0.009376657053290247,0.00035722426433497725
full,dm10_excess_cancel_sell,6,0.019065631496712955,-0.004158035934996913
full,dm10_excess_cancel_sell,7,0.01768768124887049,-5.409998866511489e-05
full,dm10_excess_cancel_sell,8,0.0142302118700804,-0.00026686096576981726
full,dm10_excess_cancel_sell,9,0.013952088820150471,0.00014785748101180243
full,dm10_excess_cancel_sell,10,0.009883330636140046,0.00014205766779302185
full,dm11_recent_buy,1,0.008822630279926361,-0.00010870061388135551
full,dm11_recent_buy,2,0.00960801930963226,1.2704803863223682e-06
full,dm11_recent_buy,3,0.009971019946947806,0.0001212067732065926
full,dm11_recent_buy,4,0.00993338990162005,0.00014049160212026434
full,dm11_recent_buy,5,0.009846687266471447,0.00017282163240444585
full,dm11_recent_buy,6,0.009838576948467806,0.0001959648200737807
full,dm11_recent_buy,7,0.009884453472252981,0.00025539635653391135
full,dm11_recent_buy,8,0.009790447127012228,0.0003062532486997842
full,dm11_recent_buy,9,0.009842119337957301,0.0002934334974406337
full,dm11_recent_buy,10,0.009918935044815735,0.0003673432454016053
full,dm11_recent_sell,1,0.008990339693670803,0.0003798986680810188
full,dm11_recent_sell,2,0.009631132600653819,0.00036382401882804454
full,dm11_recent_sell,3,0.010117568048474766,0.00028080855130068215
full,dm11_recent_sell,4,0.010172664082161054,0.000271478187842654
full,dm11_recent_sell,5,0.010214626352214796,0.00025200498304684294
full,dm11_recent_sell,6,0.010052839141923868,0.00013374909576891736
full,dm11_recent_sell,7,0.009825231639759494,8.901903095134835e-05
full,dm11_recent_sell,8,0.009782144532906963,5.95682242237788e-05
full,dm11_recent_sell,9,0.009526132884130031,1.1797795021999266e-05
full,dm11_recent_sell,10,0.009099885537626631,-9.538787826469127e-05
full,dm12_persistent_buy,1,0.008403768628641377,-9.986486370790084e-06
full,dm12_persistent_buy,2,0.009543354380923616,2.4282122460790893e-05
full,dm12_persistent_buy,3,0.009999219777314834,0.00016933451283554092
full,dm12_persistent_buy,4,0.010188315623277065,0.00023374705646807568
full,dm12_persistent_buy,5,0.010085115347726978,0.0001786827656380943
full,dm12_persistent_buy,6,0.010183917383835001,0.00024665817084035003
full,dm12_persistent_buy,7,0.009892635514423823,0.00020359941632012952
full,dm12_persistent_buy,8,0.009796900106896963,0.00024818326334911494
full,dm12_persistent_buy,9,0.009740200864542413,0.00021392125134528833
full,dm12_persistent_buy,10,0.009535020493741733,0.00025381673026920386
full,dm12_persistent_sell,1,0.008603476219733763,0.00033937721766826256
full,dm12_persistent_sell,2,0.009606536574515339,0.000273723013057783
full,dm12_persistent_sell,3,0.010354115171241468,0.0002674989352546422
full,dm12_persistent_sell,4,0.010388731650838532,0.00021527717267897547
full,dm12_persistent_sell,5,0.010290983758790362,0.00017477670473140287
full,dm12_persistent_sell,6,0.010281466034062731,0.00020975926758281767
full,dm12_persistent_sell,7,0.009998168713001849,0.0001254467278491896
full,dm12_persistent_sell,8,0.009621145269558679,5.499908001070317e-05
full,dm12_persistent_sell,9,0.00938821332493696,9.143189798998524e-05
full,dm12_persistent_sell,10,0.008726188383476132,-4.024779088155318e-06
2024,dm01_exact_buy,1,0.010434279520055318,-0.00015122932150514077
2024,dm01_exact_buy,2,0.010933093254408784,-6.0584540465677354e-05
2024,dm01_exact_buy,3,0.010893711018133547,-7.654241733481075e-06
2024,dm01_exact_buy,4,0.010529629949111972,-4.7777917981441635e-05
2024,dm01_exact_buy,5,0.010566895947655844,-3.317017088974678e-05
2024,dm01_exact_buy,6,0.010108083442179115,-5.4105832294159554e-05
2024,dm01_exact_buy,7,0.009653791040091404,-8.638466240397365e-05
2024,dm01_exact_buy,8,0.009392782914843236,-0.00013308012814693365
2024,dm01_exact_buy,9,0.009108744371027655,-0.00014998213712539063
2024,dm01_exact_buy,10,0.008574418657361535,-0.0001484107037135427
2024,dm01_exact_sell,1,0.010590036375225712,0.0003985927079411247
2024,dm01_exact_sell,2,0.010888936018542794,9.999768373257083e-05
2024,dm01_exact_sell,3,0.010990134715487763,-8.158006143988687e-07
2024,dm01_exact_sell,4,0.01084040051287154,-3.0224161067221813e-05
2024,dm01_exact_sell,5,0.010731610748359443,-0.00011694512820425674
2024,dm01_exact_sell,6,0.010103623289653274,-3.894457047863111e-05
2024,dm01_exact_sell,7,0.009521960369720963,-0.0002879407090784687
2024,dm01_exact_sell,8,0.009260197708891261,-0.0002549696614126115
2024,dm01_exact_sell,9,0.008944692776341523,-0.00031518810123516624
2024,dm01_exact_sell,10,0.008143212528418922,-0.0003251079002212161
2024,dm02_confirmed_buy,1,0.01043603534156785,-0.00015196489578175168
2024,dm02_confirmed_buy,2,0.010935342896835808,-6.0769770518657864e-05
2024,dm02_confirmed_buy,3,0.010911976785608683,-3.6643581899042037e-06
2024,dm02_confirmed_buy,4,0.010508823774761818,-5.317942197892969e-05
2024,dm02_confirmed_buy,5,0.010570877624319028,-2.9045832727242573e-05
2024,dm02_confirmed_buy,6,0.010103989198193487,-5.739218286603006e-05
2024,dm02_confirmed_buy,7,0.0096546495126621,-8.602279781199453e-05
2024,dm02_confirmed_buy,8,0.009429477266973487,-0.00012786161331362084
2024,dm02_confirmed_buy,9,0.009067328318426498,-0.0001530679770062758
2024,dm02_confirmed_buy,10,0.008574412594310531,-0.00014946286521386672
2024,dm02_confirmed_sell,1,0.010590903457234834,0.00039840334853321913
2024,dm02_confirmed_sell,2,0.010892381166399002,9.977526328027674e-05
2024,dm02_confirmed_sell,3,0.010993995556461841,-1.2167418903605758e-06
2024,dm02_confirmed_sell,4,0.010846244138649761,-3.028572722001213e-05
2024,dm02_confirmed_sell,5,0.010720375232616758,-0.00011426757463224601
2024,dm02_confirmed_sell,6,0.010107098672098302,-3.869059010567845e-05
2024,dm02_confirmed_sell,7,0.009518761822657531,-0.0002909888431114777
2024,dm02_confirmed_sell,8,0.009256248453807257,-0.0002537677404467622
2024,dm02_confirmed_sell,9,0.00894257197716104,-0.00031663155499326196
2024,dm02_confirmed_sell,10,0.008145292051771155,-0.000323534402038719
2024,dm03_price_room_buy,1,0.011316450783202004,-0.003923208933799492
2024,dm03_price_room_buy,2,0.008392239649970453,-0.00012671300458210022
2024,dm03_price_room_buy,3,0.011922501843696198,-0.00018300641506589386
2024,dm03_price_room_buy,4,0.011087319128771322,-0.00012402226791800126
2024,dm03_price_room_buy,5,0.010568237751758419,-7.707405148470004e-06
2024,dm03_price_room_buy,6,0.010547703245077483,-0.0001091394192048795
2024,dm03_price_room_buy,7,0.0106175257341292,-7.1588561646614844e-06
2024,dm03_price_room_buy,8,0.010534962757777223,-0.00010523847564178824
2024,dm03_price_room_buy,9,0.010912958757385962,-5.64647436509119e-06
2024,dm03_price_room_buy,10,0.010252319020821875,-0.0001564806059682742
2024,dm03_price_room_sell,1,0.010910646607078436,-0.0034354060303437572
2024,dm03_price_room_sell,2,0.009067790976561872,-0.00015141148134929005
2024,dm03_price_room_sell,3,0.01210909536838982,-0.00040707519009165234
2024,dm03_price_room_sell,4,0.011088475489192602,-7.294663673110379e-05
2024,dm03_price_room_sell,5,0.010622094031088177,-8.407109465796407e-05
2024,dm03_price_room_sell,6,0.010741817489658644,1.099171509653143e-06
2024,dm03_price_room_sell,7,0.010394863105115072,-8.960050182206828e-05
2024,dm03_price_room_sell,8,0.010629365466060773,-0.00010289123201549731
2024,dm03_price_room_sell,9,0.010504274364864095,-7.30160887588635e-05
2024,dm03_price_room_sell,10,0.010114034049184546,-5.074581483844803e-06
2024,dm04_price_cap_buy,1,0.011693321294682686,-0.000115791008750136
2024,dm04_price_cap_buy,2,0.011673260494894219,1.740071365288785e-05
2024,dm04_price_cap_buy,3,0.01073883699823201,-5.937548865499674e-05
2024,dm04_price_cap_buy,4,0.010531468108026555,-1.2677443931262697e-05
