date,label,record_id,short_alias,formal_column,aggregation,factor_count,n,pearson_ic,rank_ic,pearson_ic_rolling20,pearson_ic_cumulative,rank_ic_rolling20,rank_ic_cumulative
2024-01-03,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm08_adaptive_repeat_buy,dm08_adaptive_repeat_buy,dm08_adaptive_repeat_buy,buy,2834,2828,-0.048374201587987775,-0.11237772081125945,,-0.11620116577408915,,-0.19364910727111279
2024-01-03,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm08_adaptive_repeat_sell,dm08_adaptive_repeat_sell,dm08_adaptive_repeat_sell,sell,2834,2828,-0.020659527264555166,-0.08505668123166646,,-0.06863557318362043,,-0.15488439638288848
2024-01-03,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm09_two_level_buy,dm09_two_level_buy,dm09_two_level_buy,buy,2834,2828,-0.0203826837846339,-0.08623592694246487,,-0.09702336397687332,,-0.2006290737134393
2024-01-03,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm09_two_level_sell,dm09_two_level_sell,dm09_two_level_sell,sell,2834,2828,-0.07617652698139415,-0.13604583087388136,,-0.14233755741911136,,-0.22992627990216738
2024-01-03,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm10_excess_cancel_buy,dm10_excess_cancel_buy,dm10_excess_cancel_buy,buy,2834,2828,-0.02751842146499665,-0.05808127250556642,,-0.08685164813368444,,-0.11644240295790921
2024-01-03,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm10_excess_cancel_sell,dm10_excess_cancel_sell,dm10_excess_cancel_sell,sell,2834,2828,-0.020479165745326093,-0.0501704452753679,,-0.08312869515277901,,-0.11647177979288452
2024-01-03,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm11_recent_buy,dm11_recent_buy,dm11_recent_buy,buy,2834,2828,-0.027174742565806837,-0.08107651642259076,,-0.10783867581270618,,-0.19299774088803584
2024-01-03,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm11_recent_sell,dm11_recent_sell,dm11_recent_sell,sell,2834,2828,-0.05431370285578961,-0.10503626356473868,,-0.16631599264981337,,-0.2535228762743273
2024-01-03,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm12_persistent_buy,dm12_persistent_buy,dm12_persistent_buy,buy,2834,2828,-0.05229075446081131,-0.10841251798960168,,-0.15698149457260618,,-0.24103364541062888
2024-01-03,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm12_persistent_sell,dm12_persistent_sell,dm12_persistent_sell,sell,2834,2828,-0.03779402557978197,-0.08842901343594653,,-0.147335044380902,,-0.23060216327511018
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm01_exact_buy,dm01_exact_buy,dm01_exact_buy,buy,2834,2823,0.0474175812600859,0.11388825428822905,,-0.10436584536126448,,-0.11376368610934742
