period,formal_column,mean,std,icir,ordinary_t,nw_se,nw_t,ci_low,ci_high,positive_fraction,valid_days
2024,dm02_confirmed_buy,2.5020305678848347e-06,0.0035297770198226748,0.000708835304279512,0.0110268895088104,0.00023308158824397802,0.010734569756174116,-0.00045433788239031205,0.00045934194352608175,0.5206611570247934,242
2024,dm02_confirmed_sell,-0.0007219377505719382,0.003503016657693603,-0.20609029905306367,-3.2060126559380664,0.00023833435038461977,-3.029096516750052,-0.001189073077325793,-0.0002548024238180835,0.4049586776859504,242
2024,dm03_price_room_buy,0.00044464553046221687,0.005415652545236725,0.08210377729149182,0.3385225460350095,0.001245796011385172,0.35691680371317425,-0.0019971146518527206,0.002886405712777154,0.6470588235294118,17
2024,dm03_price_room_sell,2.481642137424386e-05,0.004478174899169971,0.005541637370805589,0.0350483921169055,0.0006288477832384973,0.03946332011610506,-0.0012077252337732108,0.0012573580765216986,0.525,40
2024,dm04_price_cap_buy,3.558388494335462e-05,0.0034690340719124592,0.010257577240726673,0.15957045336017775,0.00023636175456330464,0.15054840411511755,-0.0004276851540007225,0.0004988529238874318,0.512396694214876,242
2024,dm04_price_cap_sell,-0.000976938883342765,0.0036549856670402663,-0.2672893883422176,-4.158047058791705,0.00025309115298166373,-3.860027787749434,-0.0014729975431868258,-0.00048088022349870407,0.3884297520661157,242
2024,dm05_lot_floor_buy,2.300292885811566e-05,0.00351979217798665,0.006535308817940929,0.10166554601091396,0.00023286996319975923,0.09878014554579294,-0.00043342219901341245,0.0004794280567296437,0.5206611570247934,242
2024,dm05_lot_floor_sell,-0.0007237572707632135,0.003515668150158925,-0.20586620802947408,-3.2025266177256353,0.00023889549949582148,-3.0295977625810098,-0.0011919924497750237,-0.0002555220917514034,0.4049586776859504,242
2024,dm06_soft_under_buy,2.263930888740815e-05,0.003518345065837297,0.006434647103615017,0.10009961723318822,0.00023213283653969845,0.0975273865812451,-0.0004323410507304008,0.0004776196685052171,0.5165289256198347,242
2024,dm06_soft_under_sell,-0.0007194765714944589,0.0035021109177268955,-0.2054408293731163,-3.195909278811018,0.000238299215187771,-3.019215027324105,-0.00118654303326249,-0.0002524101097264277,0.4049586776859504,242
2024,dm07_fresh_match_buy,-0.0001907146033506328,0.0027302695361428497,-0.06985193250189584,-1.0866410533236621,0.00018546808292792307,-1.0282879961871858,-0.000554232045889362,0.00017280283918809638,0.49173553719008267,242
2024,dm07_fresh_match_sell,-0.000830910720068434,0.003254144196924025,-0.2553392442946601,-3.9721464451636574,0.00022545599534145352,-3.685467396021198,-0.001272804470937683,-0.00038901696919918516,0.4049586776859504,242
2024,dm08_adaptive_repeat_buy,,,,,,,,,,0
2024,dm08_adaptive_repeat_sell,,,,,,,,,,0
2024,dm09_two_level_buy,,,,,,,,,,0
2024,dm09_two_level_sell,,,,,,,,,,0
2024,dm10_excess_cancel_buy,,,,,,,,,,0
2024,dm10_excess_cancel_sell,,,,,,,,,,0
2024,dm11_recent_buy,0.0003599508106211503,0.003423536865311926,0.10514004223767995,1.6355952104910771,0.00022706746140734087,1.5852152853174648,-8.51014137372378e-05,0.0008050030349795384,0.5578512396694215,242
2024,dm11_recent_sell,-0.0007346619770435336,0.003411857598672852,-0.21532609606253883,-3.349687939229437,0.00022649679643417376,-3.243586614069602,-0.001178595698054514,-0.00029072825603255304,0.40082644628099173,242
2024,dm12_persistent_buy,1.8332069116410854e-05,0.0036049639877039526,0.005085229472177552,0.07910760536066157,0.0002339032874444205,0.0783745680392238,-0.0004401183742746533,0.000476782512507475,0.512396694214876,242
2024,dm12_persistent_sell,-0.0006204602845280607,0.003642147127749807,-0.17035563440057783,-2.6501117345556673,0.00024236155560251717,-2.5600606622018915,-0.0010954889335089944,-0.0001454316355471271,0.41735537190082644,242
2025,dm01_exact_buy,0.0003166291041124498,0.003037262543706049,0.10424818386826083,1.6250683595094897,0.00020464874173233816,1.5471832439926345,-8.448242968293299e-05,0.0007177406379078326,0.5679012345679012,243
2025,dm01_exact_sell,-0.0003114649936372053,0.003191336444926895,-0.09759704093008599,-1.521387302033594,0.0002071227988402672,-1.50376972202566,-0.000717425679364129,9.449569208971838e-05,0.5020576131687243,243
2025,dm02_confirmed_buy,0.0003158543884307011,0.003037552080762303,0.10398320095681599,1.6209376847176498,0.00020477971862808178,1.5424105011314702,-8.55138600803392e-05,0.0007172226369417413,0.5679012345679012,243
2025,dm02_confirmed_sell,-0.00031127753208064565,0.003192558217237668,-0.09750097285617416,-1.519889748968589,0.00020711585346129102,-1.5029150443030763,-0.000717224604864776,9.466954070348472e-05,0.5020576131687243,243
2025,dm03_price_room_buy,1.7579460008170548e-05,0.004820180029174721,0.0036470546539276016,0.013149642559155541,0.00142420101895413,0.01234338395648679,-0.0027738545371419243,0.0028090134571582656,0.6153846153846154,13
2025,dm03_price_room_sell,0.00031411918470461306,0.005098629134234512,0.061608557209127876,0.23860891605481915,0.0012116398972621062,0.2592512721101505,-0.002060695013929115,0.0026889333833383412,0.5333333333333333,15
2025,dm04_price_cap_buy,0.0004222704126275511,0.00305757170196518,0.13810646283655328,2.1528666943787993,0.00020892540162238395,2.0211540068773988,1.2776625447678553e-05,0.0008317641998074237,0.5679012345679012,243
2025,dm04_price_cap_sell,-0.00047830769843808875,0.003254283162226211,-0.14697789792541746,-2.291158681168458,0.000212850143175975,-2.2471570434540196,-0.0008954939790629998,-6.112141781317775e-05,0.4567901234567901,243
2025,dm05_lot_floor_buy,0.00032171265986203864,0.00303946954735226,0.1058450018498421,1.6499602883803346,0.00020454656232865188,1.5728089301502512,-7.919860230211904e-05,0.0007226239220261963,0.5679012345679012,243
