period,formal_column,group,mean,std,icir,ordinary_t,nw_se,nw_t,ci_low,ci_high,positive_fraction,valid_days,stock_days,all_stock_days,daily_mean_n
2024-01,dm12_persistent_buy,10,-0.0027228719954075077,0.002918668889713887,-0.9329156880397033,-4.3757624457679425,0.000667079368470745,-4.081781155441206,-0.004030347557610168,-0.0014153964332048474,0.22727272727272727,22,6226,6226,283.0
2024-01,dm12_persistent_sell,1,-0.0010471362537079504,0.0025204230147758324,-0.41546051895621305,-1.9486825656966427,0.0006170796726831936,-1.6969222939313158,-0.00225661241216701,0.00016233990475110916,0.4090909090909091,22,6533,6533,296.95454545454544
2024-01,dm12_persistent_sell,2,-0.0015451907156252833,0.0024498899652972378,-0.6307184149137123,-2.958331593322129,0.000581022352179375,-2.659434202194423,-0.0026839945258968585,-0.00040638690535370835,0.2727272727272727,22,5896,5896,268.0
2024-01,dm12_persistent_sell,3,-0.0016927132523416413,0.002521560106638164,-0.6712960154649767,-3.1486574104435996,0.0006264106386207628,-2.7022421842462228,-0.0029204781040383363,-0.0004649484006449462,0.22727272727272727,22,6218,6218,282.6363636363636
2024-01,dm12_persistent_sell,4,-0.0019279361247668567,0.0025023441142305947,-0.770452038871419,-3.613740385310597,0.0006041460568854095,-3.1911755490155174,-0.0031120623962622596,-0.0007438098532714539,0.18181818181818182,22,6224,6224,282.90909090909093
2024-01,dm12_persistent_sell,5,-0.0018671630168312129,0.00270717184701248,-0.6897098235162776,-3.2350258259257845,0.0006710925798542589,-2.7822733746165165,-0.0031825044733455603,-0.0005518215603168655,0.2727272727272727,22,6223,6223,282.8636363636364
2024-01,dm12_persistent_sell,6,-0.0020833459615064043,0.002543419782324081,-0.8191121166804488,-3.841976381140306,0.0006417779504469022,-3.2462099392097623,-0.0033412307443823324,-0.0008254611786304761,0.18181818181818182,22,6212,6212,282.3636363636364
2024-01,dm12_persistent_sell,7,-0.002464815783090655,0.0028098176128765386,-0.8772155786180408,-4.114505774712687,0.0006798358442641803,-3.6256043335850374,-0.003797294037848448,-0.0011323375283328614,0.18181818181818182,22,6223,6223,282.8636363636364
2024-01,dm12_persistent_sell,8,-0.002623861123939043,0.0028445525039352795,-0.9224161341051281,-4.326515172522095,0.000679337075775321,-3.8623846945854603,-0.003955361792458673,-0.0012923604554194138,0.09090909090909091,22,6219,6219,282.6818181818182
2024-01,dm12_persistent_sell,9,-0.0026129393488091342,0.002984236167587278,-0.8755806183133511,-4.106837131132885,0.0007012171740334651,-3.726291148545705,-0.003987325009914726,-0.0012385536877035426,0.18181818181818182,22,6222,6222,282.8181818181818
