date,formal_column,spread,n
2024-01-15,dm08_adaptive_repeat_buy,,2829
2024-01-15,dm08_adaptive_repeat_sell,,2829
2024-01-15,dm09_two_level_buy,,2829
2024-01-15,dm09_two_level_sell,,2829
2024-01-15,dm10_excess_cancel_buy,,2829
2024-01-15,dm10_excess_cancel_sell,,2829
2024-01-15,dm11_recent_buy,-0.0026789394201035986,2829
2024-01-15,dm11_recent_sell,-0.0035055918117733167,2829
2024-01-15,dm12_persistent_buy,-0.0037674793963994105,2829
2024-01-15,dm12_persistent_sell,-0.004018436988995132,2829
2024-01-16,dm01_exact_buy,0.001457688872080981,2826
2024-01-16,dm01_exact_sell,0.0015628683747641453,2826
2024-01-16,dm02_confirmed_buy,0.001457688872080981,2826
2024-01-16,dm02_confirmed_sell,0.0015628683747641453,2826
2024-01-16,dm03_price_room_buy,,2826
2024-01-16,dm03_price_room_sell,,2826
2024-01-16,dm04_price_cap_buy,0.001236088442906306,2826
2024-01-16,dm04_price_cap_sell,0.001050710951182469,2826
2024-01-16,dm05_lot_floor_buy,0.0014819492186950098,2826
2024-01-16,dm05_lot_floor_sell,0.0015014105698106855,2826
2024-01-16,dm06_soft_under_buy,0.0014783034242587128,2826
2024-01-16,dm06_soft_under_sell,0.001515376483449913,2826
2024-01-16,dm07_fresh_match_buy,-0.0003518088965718771,2826
2024-01-16,dm07_fresh_match_sell,0.0007129898586764767,2826
2024-01-16,dm08_adaptive_repeat_buy,,2826
2024-01-16,dm08_adaptive_repeat_sell,,2826
2024-01-16,dm09_two_level_buy,,2826
2024-01-16,dm09_two_level_sell,,2826
2024-01-16,dm10_excess_cancel_buy,,2826
2024-01-16,dm10_excess_cancel_sell,,2826
2024-01-16,dm11_recent_buy,0.0012821884911389458,2826
2024-01-16,dm11_recent_sell,0.001049353014066572,2826
2024-01-16,dm12_persistent_buy,0.0008442681462304316,2826
2024-01-16,dm12_persistent_sell,0.0012271613902774601,2826
2024-01-17,dm01_exact_buy,0.00017367044313057445,2819
2024-01-17,dm01_exact_sell,2.8458822786259132e-05,2819
2024-01-17,dm02_confirmed_buy,0.0001827552237264492,2819
2024-01-17,dm02_confirmed_sell,2.8458822786259132e-05,2819
2024-01-17,dm03_price_room_buy,,2819
2024-01-17,dm03_price_room_sell,,2819
2024-01-17,dm04_price_cap_buy,0.00023230737525253495,2819
2024-01-17,dm04_price_cap_sell,0.0002886884046759371,2819
2024-01-17,dm05_lot_floor_buy,0.00016862286678487543,2819
2024-01-17,dm05_lot_floor_sell,-1.3967924453189276e-05,2819
2024-01-17,dm06_soft_under_buy,0.00016073613319165874,2819
2024-01-17,dm06_soft_under_sell,4.265613679577834e-05,2819
2024-01-17,dm07_fresh_match_buy,0.00032755802789232423,2819
2024-01-17,dm07_fresh_match_sell,0.001255096264642649,2819
2024-01-17,dm08_adaptive_repeat_buy,,2819
2024-01-17,dm08_adaptive_repeat_sell,,2819
2024-01-17,dm09_two_level_buy,,2819
2024-01-17,dm09_two_level_sell,,2819
2024-01-17,dm10_excess_cancel_buy,,2819
2024-01-17,dm10_excess_cancel_sell,,2819
2024-01-17,dm11_recent_buy,3.6456593126102735e-05,2819
2024-01-17,dm11_recent_sell,0.0002443562025053118,2819
2024-01-17,dm12_persistent_buy,-0.00041393154026507376,2819
2024-01-17,dm12_persistent_sell,-0.00047138199938971757,2819
2024-01-18,dm01_exact_buy,-0.002208073140278625,2833
2024-01-18,dm01_exact_sell,-0.003462690755460745,2833
2024-01-18,dm02_confirmed_buy,-0.002208073140278625,2833
2024-01-18,dm02_confirmed_sell,-0.003462690755460745,2833
2024-01-18,dm03_price_room_buy,,2833
2024-01-18,dm03_price_room_sell,,2833
2024-01-18,dm04_price_cap_buy,-0.0017986580989626864,2833
2024-01-18,dm04_price_cap_sell,-0.0036504763764554785,2833
2024-01-18,dm05_lot_floor_buy,-0.0022973824559919627,2833
2024-01-18,dm05_lot_floor_sell,-0.0035701154917414106,2833
2024-01-18,dm06_soft_under_buy,-0.0022868987125139193,2833
2024-01-18,dm06_soft_under_sell,-0.003468684851102176,2833
2024-01-18,dm07_fresh_match_buy,-0.0029758620092160586,2833
2024-01-18,dm07_fresh_match_sell,-0.0045519080344427676,2833
2024-01-18,dm08_adaptive_repeat_buy,,2833
2024-01-18,dm08_adaptive_repeat_sell,,2833
2024-01-18,dm09_two_level_buy,,2833
2024-01-18,dm09_two_level_sell,,2833
2024-01-18,dm10_excess_cancel_buy,,2833
2024-01-18,dm10_excess_cancel_sell,,2833
2024-01-18,dm11_recent_buy,-0.0019513857862674395,2833
2024-01-18,dm11_recent_sell,-0.0030448280396377717,2833
2024-01-18,dm12_persistent_buy,-0.001965747002786257,2833
2024-01-18,dm12_persistent_sell,-0.0033029504312796,2833
2024-01-19,dm01_exact_buy,-0.0028405912998322983,2828
2024-01-19,dm01_exact_sell,-0.002308622119162924,2828
2024-01-19,dm02_confirmed_buy,-0.0028405912998322983,2828
2024-01-19,dm02_confirmed_sell,-0.002308622119162924,2828
2024-01-19,dm03_price_room_buy,,2828
2024-01-19,dm03_price_room_sell,,2828
2024-01-19,dm04_price_cap_buy,-0.0027947901891097475,2828
2024-01-19,dm04_price_cap_sell,-0.002119537040643934,2828
2024-01-19,dm05_lot_floor_buy,-0.0029859066336051683,2828
2024-01-19,dm05_lot_floor_sell,-0.002442680886619958,2828
2024-01-19,dm06_soft_under_buy,-0.0029694193654387357,2828
2024-01-19,dm06_soft_under_sell,-0.0023165170992181182,2828
2024-01-19,dm07_fresh_match_buy,-0.0026840755898840597,2828
2024-01-19,dm07_fresh_match_sell,-0.0018651637667126356,2828
2024-01-19,dm08_adaptive_repeat_buy,,2828
2024-01-19,dm08_adaptive_repeat_sell,,2828
2024-01-19,dm09_two_level_buy,,2828
2024-01-19,dm09_two_level_sell,,2828
2024-01-19,dm10_excess_cancel_buy,,2828
2024-01-19,dm10_excess_cancel_sell,,2828
2024-01-19,dm11_recent_buy,-0.0034914764011207008,2828
2024-01-19,dm11_recent_sell,-0.002500315516742551,2828
2024-01-19,dm12_persistent_buy,-0.003198181855931094,2828
