formal_column,stock_days,finite_rate,nonzero_rate,N,dm01_exact_buy__numerator,dm01_exact_buy__observable,dm01_exact_buy__unknown,unknown_reasons_json,dm01_exact_sell__numerator,dm01_exact_sell__observable,dm01_exact_sell__unknown,dm02_confirmed_buy__numerator,dm02_confirmed_buy__observable,dm02_confirmed_buy__unknown,dm02_confirmed_sell__numerator,dm02_confirmed_sell__observable,dm02_confirmed_sell__unknown,dm03_price_room_buy__numerator,dm03_price_room_buy__observable,dm03_price_room_buy__unknown,dm03_price_room_sell__numerator,dm03_price_room_sell__observable,dm03_price_room_sell__unknown,dm04_price_cap_buy__numerator,dm04_price_cap_buy__observable,dm04_price_cap_buy__unknown,dm04_price_cap_sell__numerator,dm04_price_cap_sell__observable,dm04_price_cap_sell__unknown,dm05_lot_floor_buy__numerator,dm05_lot_floor_buy__observable,dm05_lot_floor_buy__unknown,dm05_lot_floor_sell__numerator,dm05_lot_floor_sell__observable,dm05_lot_floor_sell__unknown,dm06_soft_under_buy__numerator,dm06_soft_under_buy__observable,dm06_soft_under_buy__unknown,dm06_soft_under_sell__numerator,dm06_soft_under_sell__observable,dm06_soft_under_sell__unknown,dm07_fresh_match_buy__numerator,dm07_fresh_match_buy__observable,dm07_fresh_match_buy__unknown,dm07_fresh_match_sell__numerator,dm07_fresh_match_sell__observable,dm07_fresh_match_sell__unknown,dm08_adaptive_repeat_buy__numerator,dm08_adaptive_repeat_buy__observable,dm08_adaptive_repeat_buy__unknown,dm08_adaptive_repeat_sell__numerator,dm08_adaptive_repeat_sell__observable,dm08_adaptive_repeat_sell__unknown,dm09_two_level_buy__numerator,dm09_two_level_buy__observable,dm09_two_level_buy__unknown,dm09_two_level_sell__numerator,dm09_two_level_sell__observable,dm09_two_level_sell__unknown,dm10_excess_cancel_buy__numerator,dm10_excess_cancel_buy__observable,dm10_excess_cancel_buy__unknown,dm10_excess_cancel_sell__numerator,dm10_excess_cancel_sell__observable,dm10_excess_cancel_sell__unknown,dm11_recent_buy__numerator,dm11_recent_buy__observable,dm11_recent_buy__unknown,dm11_recent_sell__numerator,dm11_recent_sell__observable,dm11_recent_sell__unknown,dm12_persistent_buy__numerator,dm12_persistent_buy__observable,dm12_persistent_buy__unknown,dm12_persistent_sell__numerator,dm12_persistent_sell__observable,dm12_persistent_sell__unknown
dm06_soft_under_buy,1719612,0.9970929488745136,0.9636563364293805,5734898253.0,,,,"{""book_unknown"": 4}",,,,,,,,,,,,,,,,,,,,,,,,,,,,56016462.82100935,2923565008.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm06_soft_under_sell,1719612,0.9970929488745136,0.9611708920384365,5734898253.0,,,,"{""book_unknown"": 5}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58493034.41400628,2811333236.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm07_fresh_match_buy,1719612,0.9970929488745136,0.911405014619577,5734898253.0,,,,"{""lag_state_unknown"": 4}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11794349.0,2923565008.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm07_fresh_match_sell,1719612,0.9970929488745136,0.9177622626499466,5734898253.0,,,,"{""lag_state_unknown"": 5}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12843944.0,2811333236.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm08_adaptive_repeat_buy,1719612,0.9970929488745136,0.6178544927576686,5734898253.0,,,,"{""adjacent_order_unknown"": 4}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6269204.0,2923565008.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm08_adaptive_repeat_sell,1719612,0.9970929488745136,0.6284150145497938,5734898253.0,,,,"{""adjacent_order_unknown"": 5}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6751043.0,2811333236.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
dm09_two_level_buy,1719612,0.9970929488745136,0.3948803567316348,5734898253.0,,,,"{""book_unknown"": 4, ""dependency_unknown"": 46369}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2509798.0,2923518639.0,46373.0,,,,,,,,,,,,,,,,,,,,,
dm09_two_level_sell,1719612,0.9970929488745136,0.39155809566344035,5734898253.0,,,,"{""book_unknown"": 5, ""dependency_unknown"": 44284}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2573573.0,2811288952.0,44289.0,,,,,,,,,,,,,,,,,,
dm10_excess_cancel_buy,1719612,0.9970929488745136,0.19786730960239868,5734898253.0,,,,"{""remainder_cancel_unknown"": 98199}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573687.0,2923466813.0,98199.0,,,,,,,,,,,,,,,
dm10_excess_cancel_sell,1719612,0.9970929488745136,0.1686386231312645,5734898253.0,,,,"{""remainder_cancel_unknown"": 130016}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496290.0,2811203225.0,130016.0,,,,,,,,,,,,
