period,formal_column,group,return_percentile,median_return,winsorized_mean,tail_contribution,positive_fraction
full,dm04_price_cap_sell,10,0.49429345314751477,-0.0005959270167697623,-0.00016479014771114632,3.909528942089459e-05,0.4834010374078148
full,dm05_lot_floor_buy,1,0.4966321062492939,-0.0004391981639705071,-9.782582793109257e-05,3.297051994136151e-05,0.4590705247285624
full,dm05_lot_floor_buy,2,0.4973802055499954,-0.0005326575232853848,1.993419890024157e-06,0.00011443910511882066,0.4824287835179092
full,dm05_lot_floor_buy,3,0.5001879232124956,-0.00046457020733865225,8.860415467784694e-05,0.00011778436929644894,0.48873363824654525
full,dm05_lot_floor_buy,4,0.49986926003555066,-0.00046041380168983985,7.073243375014894e-05,9.763906655604238e-05,0.4875495602228998
full,dm05_lot_floor_buy,5,0.5010135801226562,-0.0004522780220975061,0.00010835093642305493,0.00011691186648277119,0.49207865756461583
full,dm05_lot_floor_buy,6,0.5004456522536248,-0.0004860334879993281,0.00011298234879113632,0.00010310270774221273,0.49073620003626667
full,dm05_lot_floor_buy,7,0.5015689022822026,-0.00046756370558616485,0.00013807911416747042,8.937942280270218e-05,0.49368425676977146
full,dm05_lot_floor_buy,8,0.5008845759202198,-0.00047278097296284957,0.0001141221021670215,8.57026521091951e-05,0.4906572162712054
full,dm05_lot_floor_buy,9,0.5019611924977366,-0.00042925672638328066,0.0001331540277117874,9.93456834244354e-05,0.49293440785561565
full,dm05_lot_floor_buy,10,0.501809198006069,-0.00039876403672618613,0.0001529167369211534,6.540825662680102e-05,0.4918609317135918
full,dm05_lot_floor_sell,1,0.5106834590537965,-0.0001710693674022608,0.0003264437567007875,8.797284557608187e-05,0.4767735432004571
full,dm05_lot_floor_sell,2,0.5033890312620711,-0.00042145830635632994,0.00018808076361883893,0.00012365941457140886,0.4899911463454693
full,dm05_lot_floor_sell,3,0.5000507411171562,-0.0004724578666798102,0.00010344869309350817,0.00013225361601926154,0.48750615992322205
full,dm05_lot_floor_sell,4,0.49946486952125696,-0.0005010897388689681,9.096434439940084e-05,0.00011276321852976367,0.4879532394518505
full,dm05_lot_floor_sell,5,0.4994790897905535,-0.00048654369364807494,7.835913781696223e-05,0.00011121704053031191,0.4887250749238364
full,dm05_lot_floor_sell,6,0.4996633901715112,-0.0004846173095244776,8.550860647176603e-05,0.00010145410408826795,0.48929319944113936
full,dm05_lot_floor_sell,7,0.4963061082942391,-0.0005616764985560614,-1.4649554816816221e-05,7.908320969017947e-05,0.48608750724131894
full,dm05_lot_floor_sell,8,0.4974737430186836,-0.0005367885128299404,6.962096350238165e-06,7.516232795585003e-05,0.4876857149499946
full,dm05_lot_floor_sell,9,0.4980354033452277,-0.000541019373707635,1.3068687816632794e-05,6.34369783176092e-05,0.488104361640595
full,dm05_lot_floor_sell,10,0.49723193541711763,-0.0005278149727865855,-5.423304690281808e-05,3.583004873863035e-05,0.48763681142155
full,dm06_soft_under_buy,1,0.4965707564687404,-0.00043942171671346874,-9.85619476754606e-05,3.2930432155223504e-05,0.45897544602535517
full,dm06_soft_under_buy,2,0.4975040811185206,-0.0005304659079066134,2.1628901676235976e-06,0.00011454929587297706,0.48250689310475764
full,dm06_soft_under_buy,3,0.5004895267180117,-0.00046127537329019506,9.762448187257824e-05,0.00011767971032263168,0.4891635164037312
full,dm06_soft_under_buy,4,0.49982683293485924,-0.0004680261246287304,7.24548109055621e-05,9.568894192548934e-05,0.4872745646615681
full,dm06_soft_under_buy,5,0.5006693432654036,-0.00045760331110666685,0.00010089233270900138,0.0001183566095642072,0.49177003725963203
full,dm06_soft_under_buy,6,0.5003714370565481,-0.00048696460837920454,0.00011205955960875982,0.00010352174101575635,0.4909636137028437
full,dm06_soft_under_buy,7,0.5019056447363073,-0.00046113828329618977,0.0001440206469060381,8.859400967041376e-05,0.4938866287250213
full,dm06_soft_under_buy,8,0.5009783806667237,-0.0004661113061274567,0.00011732456779561206,9.061875587860596e-05,0.49086770220588005
full,dm06_soft_under_buy,9,0.5017190393089866,-0.0004375700639157151,0.00012423601244600474,9.629079779602414e-05,0.49284481307378775
full,dm06_soft_under_buy,10,0.5017141596707809,-0.00040179032549430513,0.0001508577474413374,6.447138755189761e-05,0.4914733222850186
full,dm06_soft_under_sell,1,0.5106488222158054,-0.00016841010966464504,0.0003232073163714756,8.73244645285002e-05,0.4769042304313184
full,dm06_soft_under_sell,2,0.5036305522870406,-0.00041677330559184686,0.0001978146826054001,0.00012503348644738035,0.4901274958045289
full,dm06_soft_under_sell,3,0.5001806403611155,-0.00047295754312277606,0.00010486110958111344,0.0001322175004947656,0.48772820485252805
full,dm06_soft_under_sell,4,0.4994412934595068,-0.0005041233838275445,9.19144181244367e-05,0.00011287879711265668,0.4878177012604599
full,dm06_soft_under_sell,5,0.4993306105924529,-0.0004891659739479578,7.439341063075962e-05,0.00011032760435619294,0.4885316962512301
full,dm06_soft_under_sell,6,0.4998354266840592,-0.0004750731442828246,9.470373274265135e-05,0.00010056146556612243,0.48951335059868045
full,dm06_soft_under_sell,7,0.49618066206422057,-0.0005565955293727316,-1.961618024141363e-05,7.934938018235591e-05,0.4856599515795855
full,dm06_soft_under_sell,8,0.4975514786140778,-0.0005314643576782989,6.8082006868537826e-06,7.22709611687478e-05,0.48802523572145895
full,dm06_soft_under_sell,9,0.4975954716300887,-0.0005492898741508496,-2.2619897648665937e-06,6.660386812592604e-05,0.48777242347001804
full,dm06_soft_under_sell,10,0.4973815381953646,-0.0005232151976940057,-4.7907639289435775e-05,3.629330109756839e-05,0.4876728607448733
full,dm07_fresh_match_buy,1,0.5001999958370961,-0.0003919391123616764,-2.324862223052898e-05,2.6398680921301786e-05,0.4640001639411478
full,dm07_fresh_match_buy,2,0.49472404093326794,-0.0005764579411789895,8.423044489355514e-05,0.00015183583932877273,0.48030810730591517
full,dm07_fresh_match_buy,3,0.49877244893683714,-0.0005143639411114941,0.0001784902280121106,0.00014544294524660955,0.4878636098588111
full,dm07_fresh_match_buy,4,0.5006046678917208,-0.00047330240697597526,0.00016572858976068045,0.00012849316958370917,0.4916218372574502
full,dm07_fresh_match_buy,5,0.49910989344007756,-0.0004900267111320367,0.00010142504539472698,0.00011134131002636353,0.4883058279505127
full,dm07_fresh_match_buy,6,0.501689941611495,-0.0004357522661554955,0.0001222258978446391,9.957895180944776e-05,0.492630552613854
full,dm07_fresh_match_buy,7,0.5023820345236494,-0.00041904437741285236,0.00011132251845686349,8.486589223739891e-05,0.49328492093026793
full,dm07_fresh_match_buy,8,0.5012147856433823,-0.00045849697193390713,6.536138596154465e-05,7.551389421187643e-05,0.4910966890462997
full,dm07_fresh_match_buy,9,0.5005333470807937,-0.00045640534014501085,1.7481643609957604e-05,6.286090687946138e-05,0.4897221967297329
full,dm07_fresh_match_buy,10,0.5024435955722834,-0.00044283329246087855,1.3872570380081406e-05,4.741127818547164e-05,0.49166710339195857
full,dm07_fresh_match_sell,1,0.511604947936431,-0.0001391942347453896,0.0003632756741075086,8.616182897573752e-05,0.47666152316729365
full,dm07_fresh_match_sell,2,0.4994927634551425,-0.000480861682847803,0.00027535519664761553,0.00016153771339663176,0.48602776674489595
full,dm07_fresh_match_sell,3,0.4992301288072613,-0.0004869768024330802,0.00016984584133154722,0.0001361592755960773,0.4890854501372749
full,dm07_fresh_match_sell,4,0.49846786922619774,-0.0005040614975223003,0.00011039822254255746,0.00011325545157265091,0.48828597814934227
full,dm07_fresh_match_sell,5,0.49820043595595015,-0.0005193308717218668,6.708433485533259e-05,0.00011087882165702049,0.4883972670893201
full,dm07_fresh_match_sell,6,0.4985789260780188,-0.000525924960892934,3.640893376151786e-05,8.629033187141509e-05,0.4880234145035213
full,dm07_fresh_match_sell,7,0.49904760535800297,-0.00048715409775921777,2.1563893903898578e-05,8.80295704007695e-05,0.4892941814264909
full,dm07_fresh_match_sell,8,0.4980662585017492,-0.0005342980092645219,-5.130477979880621e-05,5.791634331468198e-05,0.48677252107248953
full,dm07_fresh_match_sell,9,0.49893310786475,-0.000507862558734851,-5.2207677900239005e-05,5.183369641290096e-05,0.4884625462717138
full,dm07_fresh_match_sell,10,0.4994266126142892,-0.0004867827840167751,-0.00011752714367050282,3.921584080284355e-05,0.4882359100691562
full,dm08_adaptive_repeat_buy,1,0.5326751701998116,-0.004512291945757178,-0.004030480482943158,9.526815541117195e-05,0.38030477358145237
full,dm08_adaptive_repeat_buy,2,0.5018490867147378,-0.0006248203110467796,-0.00023830863291162625,3.8834346840078096e-05,0.4791971722007842
full,dm08_adaptive_repeat_buy,3,0.4967446608534901,-0.0005188509671166775,-0.0001299596666160459,2.5297222445904102e-06,0.48320834817817265
full,dm08_adaptive_repeat_buy,4,0.4882356945599434,-0.0009926048031122952,-0.00015471993992328625,0.00016261025268977036,0.46561468374141335
full,dm08_adaptive_repeat_buy,5,0.4957388715722561,-0.0006193388152404259,0.0001110743703921043,0.00016292823751208995,0.4807873424820592
full,dm08_adaptive_repeat_buy,6,0.5006700107580664,-0.00046648243669931977,0.0001820044061056872,0.00011986767329074547,0.4918614055315238
full,dm08_adaptive_repeat_buy,7,0.5000805006150754,-0.0004784141070032205,0.00014643372845157552,0.00010848278876496992,0.48994376276564816
full,dm08_adaptive_repeat_buy,8,0.5017693988201735,-0.00045071269483878577,0.00018760846399509576,0.00010878713120137955,0.4922105129118045
full,dm08_adaptive_repeat_buy,9,0.5007105782033527,-0.0004397993278428137,0.0001974361010665341,0.00012059024777490836,0.4921073021657175
full,dm08_adaptive_repeat_buy,10,0.4991551311858204,-0.0004855784578790668,0.00018963201847828836,0.00012173965061061166,0.48865952650112965
full,dm08_adaptive_repeat_sell,1,0.5206179060430536,-0.006330507494915138,-0.005849423010416363,0.00015654575221506786,0.2805497169635461
full,dm08_adaptive_repeat_sell,2,0.5069625599653029,-0.0003269882386642398,0.00012038007415019878,5.7750278609911517e-05,0.48976302580936454
full,dm08_adaptive_repeat_sell,3,0.5056644031638935,-0.0004943086895511244,0.00016588295250098784,0.00013469917790174757,0.486325505070864
full,dm08_adaptive_repeat_sell,4,0.5007942823823334,-0.0004253902300828955,0.0005348562408585734,0.00029727916263231567,0.48034702489035175
full,dm08_adaptive_repeat_sell,5,0.49610584817823344,-0.0005269320048069257,0.00019849819169890238,0.00018519836572186165,0.4840603473427803
full,dm08_adaptive_repeat_sell,6,0.49715942435502425,-0.0005526554080222738,0.0001034732195898761,0.00013905165270224182,0.4857936061690736
full,dm08_adaptive_repeat_sell,7,0.4964934421592827,-0.0005460706974142632,4.2423637166436986e-05,0.00010735677016363602,0.485762426206878
full,dm08_adaptive_repeat_sell,8,0.49746256135196965,-0.0005362210622895485,6.430675862259834e-05,8.287081962298237e-05,0.48731689214221297
full,dm08_adaptive_repeat_sell,9,0.49607690439145957,-0.0005551892298250018,1.691415211195574e-05,7.907817803538479e-05,0.48721399997344683
full,dm08_adaptive_repeat_sell,10,0.4953871373914812,-0.0005732795581850258,-3.0978260483314084e-05,5.810155330055889e-05,0.4852308044576684
full,dm09_two_level_buy,1,,,,,
full,dm09_two_level_buy,2,0.5064762870997185,-0.0032739723129932377,-0.00244189974274248,7.162668054305425e-05,0.4815646711554606
full,dm09_two_level_buy,3,0.5000985581078671,-0.0008246264766730993,-0.0004193930121980682,4.64596934276813e-05,0.4713763715668855
full,dm09_two_level_buy,4,0.5054532896218091,-5.061142290917904e-05,0.0004145448816370163,8.315777121349525e-05,0.501346557301681
full,dm09_two_level_buy,5,0.49801711869808907,-0.0008751352140463,4.1197344933698605e-06,5.4195798003501595e-05,0.463922486737572
full,dm09_two_level_buy,6,0.5021977000779148,-0.0008267985319698988,0.00020798494598244996,0.00012438727000099368,0.473039764241156
full,dm09_two_level_buy,7,0.4919079149888238,-0.0007254909686010286,0.00019734094118192494,0.00017341256236878748,0.477906284257553
full,dm09_two_level_buy,8,0.4955874884051293,-0.0005911219346552483,0.00018914853883786575,0.00014645893225489318,0.4852639610482501
full,dm09_two_level_buy,9,0.49733076701666756,-0.0005380440343283392,0.0001366294428799726,0.00012564399285882734,0.4867182501351622
full,dm09_two_level_buy,10,0.4974412471180658,-0.0005082918263682948,0.00010697354606508476,8.188726208708581e-05,0.4879045293400564
full,dm09_two_level_sell,1,,,,,
full,dm09_two_level_sell,2,0.5274699067305026,-0.009417628517079418,-0.00896308261719139,9.286175214874733e-05,0.2883604075395797
full,dm09_two_level_sell,3,0.5001354582943947,-0.0005868930746094186,-0.00012964928300633106,5.5942315364895264e-05,0.4787146955204719
full,dm09_two_level_sell,4,0.5034738630458365,-0.0003002087009358086,0.00015948067996875446,8.539284691537458e-05,0.4937634819184681
full,dm09_two_level_sell,5,0.49034730616072375,-0.0010668627575723092,-8.768446288199361e-05,3.266275121321823e-05,0.4733254492989358
